TICKETABLE|THRESHOLD|INCREMENT
01|0|0.01
02|0|0.01
03|0|0.01
04|0|0.01
06|0|0.001
07|0|0.001
07|10|0.005
07|50|0.01
07|100|0.05
08|0|0.001
08|0.01|0.01
10|0|0.001
10|10|0.005
10|50|0.01
10|100|0.05
11|0|0.05
11|10|0.1
11|100|1
11|500|2
11|1500|5
11|5000|10
11|10000|25
11|50000|50
12|0|1
12|500|5
12|2500|10
12|5000|25
12|25000|50
12|50000|100
12|250000|250
13|0|0.0001
14|0|0.001
15|0|1
16|0|0.0001
17|0|0.01
18|0|0.0001
18|0.5|0.001
18|5|0.01
19|0|0.001
19|0.1|0.01
73|0|0.001
73|10|0.005
73|50|0.01
73|100|0.05
89|0|0.0001
92|0|0.01
93|0|0.001
96|0|0.000001
